x,y
3.580694872852938460e+01,1.701023655400544854e+01
3.555058860314852609e+01,1.721325360960950945e+01
3.528910904660954628e+01,1.741518546767300890e+01
3.502274031823149869e+01,1.761584574615400811e+01
3.475171046671086117e+01,1.781505265282598316e+01
3.447624533012149328e+01,1.801262898527789247e+01
3.419656853591467893e+01,1.820840213091410931e+01
3.391290150091904820e+01,1.840220406695448929e+01
3.362546343134070526e+01,1.859387136043431354e+01
3.333447132276307912e+01,1.878324516820433487e+01
3.304013996014704446e+01,1.897017123693072449e+01
3.274268191783083637e+01,1.915449990309514305e+01
3.244230755953014977e+01,1.933608609299465542e+01
3.213922503833799738e+01,1.951478932274182299e+01
3.183364029672486240e+01,1.969047369826461491e+01
3.152575706653856713e+01,1.986300791530648269e+01
3.121577686900438664e+01,2.003226525942629621e+01
3.090389901472493506e+01,2.019812360599841483e+01
3.059032060368029349e+01,2.036046542021259853e+01
3.027523652522786790e+01,2.051917775707410385e+01
2.995883945810253479e+01,2.067415226140359863e+01
2.964131987041649907e+01,2.082528516783723660e+01
2.932286601965942907e+01,2.097247730082657569e+01
2.900366395269834641e+01,2.111563407463867037e+01
2.868389750577766506e+01,2.125466549335599709e+01
2.836374830451925533e+01,2.138948615087647909e+01
2.804339576392231237e+01,2.152001523091351487e+01
2.772301708836349121e+01,2.164617650699592133e+01
2.740278727159679306e+01,2.176789834246799060e+01
2.708287909675367189e+01,2.188511369048943678e+01
2.676346313634292073e+01,2.199776009403545984e+01
2.644470775225078540e+01,2.210577968589667108e+01
